company,code,quarter,scr_eok,tier1_hybrid_limit_eok,tier1_hybrid_limit_strict_eok,tier1_hybrid_issued_eok,tier1_hybrid_excess_eok,tier1_hybrid_recognized_eok,tier1_hybrid_overflow_eok,utilization_pct,utilization_pct_strict,data_source,quality_flag,issued_source,excess_source,legacy_hybrid_transition_eok
흥국화재,KR0005,2026.1Q,21029.0,3154.35,2102.9,4113.0,,4113.0,958.65,100.0,100.0,md+json,excess_unknown_assumed_zero,bs_normal,missing,2120.0
NH농협손해보험,KR0032,2026.1Q,15549.0,2332.35,1554.9,4500.0,,4500.0,2167.65,100.0,100.0,md+json,excess_unknown_assumed_zero,bs_normal,missing,0.0
악사손해보험,KR0049,2026.1Q,2677.01,401.55,267.7,33945.0,,33945.0,33543.45,100.0,100.0,md+json,excess_unknown_assumed_zero,bs_transposed,missing,339.45
한화생명,KR0068,2026.1Q,148294.0,22244.1,14829.4,30685.0,,30685.0,8440.9,100.0,100.0,md+json,excess_unknown_assumed_zero,bs_normal,missing,
케이디비생명보험,KR0072,2026.1Q,14166.0,2124.9,1416.6,2403.0,,2403.0,278.1,100.0,100.0,md+json,excess_unknown_assumed_zero,bs_normal,missing,0.0
교보생명보험,KR0073,2026.1Q,92362.0,13854.3,9236.2,22057.0,,22057.0,8202.7,100.0,100.0,md+json,excess_unknown_assumed_zero,bs_normal,missing,
하나생명보험,KR0097,2026.1Q,6411.0,961.65,641.1,1799.0,,1799.0,837.35,100.0,100.0,md+json,excess_unknown_assumed_zero,bs_normal,missing,
코리안리재보험,KR1000,2026.1Q,22895.0,3434.25,2289.5,8082.0,,8082.0,4647.75,100.0,100.0,md+json,excess_unknown_assumed_zero,bs_normal,missing,3291.97
아이엠라이프생명보험,KR0076,2026.1Q,6525.0,978.75,652.5,949.0,,949.0,0.0,96.96,100.0,md+json,excess_unknown_assumed_zero,bs_normal,missing,2465.98
DB손해보험,KR0011,2026.1Q,98666.0,14799.9,9866.6,13063.0,,13063.0,0.0,88.26,100.0,md+json,excess_unknown_assumed_zero,bs_normal,missing,0.0
푸본현대생명보험,KR0083,2026.1Q,13925.0,2088.75,1392.5,998.0,,998.0,0.0,47.78,71.67,md+json,excess_unknown_assumed_zero,bs_normal,missing,
한화손해보험,KR0002,2026.1Q,33944.0,5091.6,3394.4,2341.0,,2341.0,0.0,45.98,68.97,md+json,excess_unknown_assumed_zero,bs_normal,missing,2341.05
메리츠화재해상보험,KR0001,2026.1Q,57785.0,8667.75,5778.5,1792.0,,1792.0,0.0,20.67,31.01,md+json,excess_unknown_assumed_zero,bs_normal,missing,1791.95
KB라이프생명,KR0099,2026.1Q,24075.0,3611.25,2407.5,498.0,,498.0,0.0,13.79,20.69,md+json,excess_unknown_assumed_zero,bs_normal,missing,
흥국생명보험,KR0071,2026.1Q,26822.0,4023.3,2682.2,496.0,,496.0,0.0,12.33,18.49,md+json,excess_unknown_assumed_zero,bs_normal,missing,496.5
예별손해보험,KR0004,2026.1Q,8317.0,1247.55,831.7,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
현대해상,KR0009,2026.1Q,69990.0,10498.5,6999.0,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
AIG손해보험,KR0029,2026.1Q,2455.0,368.25,245.5,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,
