company,code,quarter,tier2_limit_eok,numerator_eok,utilization_pct,data_source,tier2_eok,pre_limit_eok,lapse_excess_eok,hybrid_eok,subordinated_eok,proxy_utilization_pct,quality_flag
KB손해보험,KR0010,2025.4Q,31823.0,71809.0,225.65,proxy,71809.0,,,,,225.65,util_over_100
미래에셋생명,KR0079,2025.4Q,10477.0,13072.0,124.77,proxy,13072.0,,,,,124.77,util_over_100
동양생명,KR0087,2025.4Q,11286.49,12223.25,108.3,table,26894.26,12223.25,15607.77,0.0,0.0,100.0,util_over_100
케이디비생명보험,KR0072,2025.4Q,6790.47,6687.31,98.48,table,12952.24,6687.31,6264.93,0.0,0.0,98.48,pre_limit_minus_hybrid_sub
에이비엘생명보험,KR0070,2025.4Q,7802.92,7216.64,92.49,table,10858.73,7216.64,2998.86,0.0,643.23,91.76,pre_limit_already_netted
아이엠라이프생명보험,KR0076,2025.4Q,3158.22,2398.05,75.93,table,7996.77,2398.05,3580.75,2465.98,499.45,6.07,table_proxy_diverge
IBK연금보험,KR1011,2025.4Q,3510.86,2601.67,74.1,table,7473.03,2601.67,3256.01,0.0,1615.36,53.99,table_proxy_diverge
현대해상,KR0009,2025.4Q,36704.21,26915.89,73.33,table,91209.63,26915.89,60452.64,0.0,3841.11,73.33,pre_limit_already_netted
한화생명,KR0068,2025.4Q,72694.17,53118.11,73.07,table,144558.86,144558.86,74294.83,0.0,17145.92,73.07,ok
롯데손해보험,KR0003,2025.4Q,10335.34,5775.82,55.88,table,29479.93,5775.82,21567.39,453.7,2136.72,55.88,pre_limit_residual
하나생명보험,KR0097,2025.4Q,2967.91,1553.39,52.34,table,6639.43,1553.39,5086.04,0.0,0.0,52.34,pre_limit_minus_hybrid_sub
하나손해보험,KR0050,2025.4Q,2168.58,1019.98,47.03,table,4983.95,1019.98,3963.97,0.0,0.0,47.04,pre_limit_minus_hybrid_sub
흥국화재,KR0005,2025.4Q,9821.1,4374.33,44.54,table,24718.5,4374.33,19703.69,2120.0,640.47,44.54,pre_limit_residual
삼성생명,KR0069,2025.4Q,166037.63,66288.79,39.92,table,139658.46,66288.79,73369.68,0.0,0.0,39.92,pre_limit_minus_hybrid_sub
코리안리,KR1000,2025.4Q,11109.59,4431.19,39.89,table,8368.98,7723.16,645.82,3291.97,0.0,69.52,table_proxy_diverge
DB생명보험,KR0082,2025.4Q,7209.26,2869.27,39.8,table,18553.2,2869.27,15683.93,0.0,3135.91,39.8,pre_limit_minus_hybrid_sub
푸본현대생명보험,KR0083,2025.4Q,6454.3,2517.72,39.01,table,9941.04,6429.38,0.0,400.0,3511.66,39.39,pre_limit_minus_exemptions
신한라이프생명보험,KR0094,2025.4Q,23967.75,9139.29,38.13,table,51736.95,9139.29,42597.66,0.0,0.0,38.13,pre_limit_minus_hybrid_sub
교보생명보험,KR0073,2025.4Q,42912.44,13696.12,31.92,table,60482.87,24785.11,35697.76,11088.99,0.0,57.76,table_proxy_diverge
DB손해보험,KR0011,2025.4Q,49381.77,13823.95,27.99,table,128709.34,13823.95,109418.78,0.0,5466.62,27.99,pre_limit_already_netted
처브라이프생명보험,KR0100,2025.4Q,628.5,130.58,20.78,table,1569.23,130.58,1438.65,0.0,0.0,20.78,pre_limit_minus_hybrid_sub
비엔피파리바카디프생명보험,KR0075,2025.4Q,400.73,53.06,13.24,table,210.77,210.77,157.71,0.0,0.0,13.31,ok
흥국생명보험,KR0071,2025.4Q,12516.01,1012.7,8.09,table,19514.81,1012.7,14244.95,496.5,4257.15,8.09,pre_limit_residual
NH농협손해보험,KR0032,2025.4Q,8019.52,607.27,7.57,table,12401.12,6029.4,4472.54,0.0,949.59,87.02,table_proxy_diverge
삼성화재해상보험,KR0008,2025.4Q,55731.71,4097.07,7.35,table,102706.78,4097.07,98609.72,0.0,0.0,7.35,pre_limit_minus_hybrid_sub
농협생명보험,KR0104,2025.4Q,15075.72,724.17,4.8,table,41522.6,12544.86,28977.74,2500.0,9320.69,83.21,table_proxy_diverge
악사손해보험,KR0049,2025.4Q,1304.77,25.98,1.99,table,2683.5,25.98,2326.15,0.0,331.38,1.99,pre_limit_already_netted
케이비라이프생명보험,KR0099,2025.4Q,10785.79,172.42,1.6,table,21029.65,172.42,18846.21,498.0,2011.02,1.6,pre_limit_residual
한화손해보험,KR0002,2025.4Q,16893.72,125.7,0.74,table,36473.72,125.7,25445.21,2341.05,10902.81,0.74,pre_limit_residual
서울보증보험,KR0150,2025.4Q,7000.04,46.41,0.66,table,46.41,46.41,0.0,0.0,0.0,0.66,ok
메리츠화재해상보험,KR0001,2025.4Q,27660.93,99.76,0.36,table,87392.01,99.76,69303.47,1791.95,17988.79,0.36,pre_limit_residual
교보라이프플래닛생명보험,KR1010,2025.4Q,372.5,0.09,0.02,table,0.09,,,,,101.21,table_proxy_diverge
AIG손해보험,KR0029,2025.4Q,1253.94,0.0,0.0,table,0.0,0.0,0.0,0.0,0.0,0.0,ok
신한이지손해보험,KR0051,2025.4Q,2.71,0.0,0.0,table,0.12,0.12,0.12,0.0,0.0,4.38,ok
라이나생명보험,KR0074,2025.4Q,10521.96,0.0,0.0,table,20276.45,0.0,20276.45,0.0,0.0,0.0,pre_limit_minus_hybrid_sub
메트라이프생명보험,KR0095,2025.4Q,8625.68,0.0,0.0,table,18391.17,0.0,18391.17,0.0,0.0,0.0,pre_limit_minus_hybrid_sub
카카오페이손해보험,KR1098,2025.4Q,151.58,0.0,0.0,table,0.0,0.0,0.0,0.0,0.0,0.0,ok
에이아이에이생명보험,KR0080,2025.4Q,,,,missing,,,,,,,missing
