company,code,quarter,tier2_limit_eok,numerator_eok,utilization_pct,data_source,tier2_eok,pre_limit_eok,lapse_excess_eok,hybrid_eok,subordinated_eok,proxy_utilization_pct,quality_flag
메리츠화재해상보험,KR0001,2026.2Q,31553.5,92894.0,294.4,proxy,92894.0,,,,,294.4,util_over_100
NH농협손해보험,KR0032,2026.2Q,6721.5,15538.0,231.17,proxy,15538.0,,,,,231.17,util_over_100
하나손해보험,KR0050,2026.2Q,2338.28,2007.83,85.87,table,6065.39,2007.83,4057.56,0.0,0.0,85.86,pre_limit_minus_hybrid_sub
케이디비생명보험,KR0072,2026.2Q,7764.66,6452.28,83.1,table,16273.15,6452.28,9820.87,0.0,0.0,83.1,pre_limit_minus_hybrid_sub
IBK연금보험,KR1011,2026.2Q,3610.46,2744.69,76.02,table,7904.66,2744.69,3557.89,0.0,1602.09,55.62,table_proxy_diverge
한화생명,KR0068,2026.2Q,75055.83,52934.71,70.53,table,166945.49,166945.49,96078.69,0.0,17932.09,70.53,ok
현대해상,KR0009,2026.2Q,36667.53,25852.36,70.5,table,91826.46,25852.36,65974.1,0.0,0.0,70.5,pre_limit_minus_hybrid_sub
에이비엘생명보험,KR0070,2026.2Q,8639.41,6078.44,70.36,table,11256.08,6078.44,4544.79,0.0,632.85,70.36,pre_limit_already_netted
삼성생명,KR0069,2026.2Q,311175.5,192933.0,62.0,proxy,192933.0,,,,,62.0,no_table
롯데손해보험,KR0003,2026.2Q,10555.5,5651.39,53.54,table,28287.34,5651.39,20702.09,,1933.86,53.54,pre_limit_already_netted
아이엠라이프생명보험,KR0076,2026.2Q,3707.18,1833.8,49.47,table,7816.96,1833.8,4629.33,2465.98,0.0,49.47,pre_limit_residual
한화손해보험,KR0002,2026.2Q,17798.33,8315.18,46.72,table,39508.01,8315.18,28710.81,2341.05,2482.02,46.72,pre_limit_residual
흥국화재,KR0005,2026.2Q,11327.03,5128.75,45.28,table,27259.63,5128.75,21940.32,2120.0,190.57,45.28,pre_limit_residual
푸본현대생명보험,KR0083,2026.2Q,7712.91,3331.07,43.19,table,9634.79,6682.93,0.0,400.0,2951.86,56.54,table_proxy_diverge
DB손해보험,KR0011,2026.2Q,57549.42,22392.16,38.91,table,124792.04,22392.16,102399.87,0.0,0.0,38.91,pre_limit_minus_hybrid_sub
하나생명보험,KR0097,2026.2Q,3776.78,1275.58,33.77,table,8312.71,1275.58,7037.13,0.0,0.0,33.77,pre_limit_minus_hybrid_sub
코리안리재보험,KR1000,2026.2Q,11676.69,3821.24,32.73,table,8182.88,7113.21,1069.67,3291.97,0.0,60.92,table_proxy_diverge
DB생명보험,KR0082,2026.2Q,8124.0,2563.95,31.56,table,20469.35,2563.95,17905.4,0.0,3135.91,31.56,pre_limit_lapse_netted
교보생명보험,KR0073,2026.2Q,52699.09,16108.51,30.57,table,69687.73,27197.5,42490.24,11088.99,0.0,51.61,table_proxy_diverge
비엔피파리바카디프생명보험,KR0075,2026.2Q,508.4,127.55,25.09,table,233.86,233.86,106.31,0.0,0.0,25.11,ok
KB손해보험,KR0010,2026.2Q,36093.38,7343.08,20.34,table,80500.28,7343.08,,,,20.34,pre_limit_residual
처브라이프생명보험,KR0100,2026.2Q,683.97,91.76,13.42,table,1620.74,91.76,1528.98,0.0,0.0,13.42,pre_limit_minus_hybrid_sub
흥국생명보험,KR0071,2026.2Q,14131.73,1492.99,10.56,table,20832.26,1492.99,15206.78,496.5,4132.49,10.56,pre_limit_residual
농협생명보험,KR0104,2026.2Q,11925.57,725.15,6.08,table,48031.81,11925.57,36106.24,2500.0,8700.42,69.34,table_proxy_diverge
삼성화재해상보험,KR0008,2026.2Q,77777.7,3089.8,3.97,table,97415.18,3089.8,94325.38,0.0,0.0,3.97,pre_limit_minus_hybrid_sub
동양생명,KR0087,2026.2Q,11884.0,268.94,2.26,table,268.94,,,,,242.29,table_proxy_diverge
악사손해보험,KR0049,2026.2Q,1269.56,25.99,2.05,table,2653.48,25.99,2282.83,0.0,344.66,2.05,pre_limit_already_netted
신한라이프생명보험,KR0094,2026.2Q,26880.5,517.37,1.92,table,517.37,,,,,220.86,table_proxy_diverge
교보라이프플래닛생명보험,KR1010,2026.2Q,388.5,3.76,0.97,table,3.76,,,,,93.69,table_proxy_diverge
케이비라이프생명보험,KR0099,2026.2Q,13586.09,108.36,0.8,table,23033.2,108.36,22222.88,498.0,701.95,0.8,pre_limit_residual
서울보증보험,KR0150,2026.2Q,7172.49,43.15,0.6,table,43.15,43.15,0.0,0.0,0.0,0.6,ok
에이아이에이생명보험,KR0080,2026.2Q,8215.65,15.61,0.19,table,2735.39,2735.39,2719.78,0.0,0.0,0.19,ok
미래에셋생명,KR0079,2026.2Q,77987.02,-6.01,-0.01,table,73472.53,73472.53,70547.6,,2930.94,0.0,util_negative
MG_예별손해보험,KR0004,2026.2Q,4306.5,0.0,0.0,proxy,0.0,,,,,0.0,no_table
AIG손해보험,KR0029,2026.2Q,1389.83,0.0,0.0,table,754.39,0.0,754.39,0.0,0.0,0.0,pre_limit_minus_hybrid_sub
신한이지손해보험,KR0051,2026.2Q,2.62,0.0,0.0,table,0.22,0.22,0.22,0.0,0.0,8.31,table_proxy_diverge
라이나생명보험,KR0074,2026.2Q,10195.19,0.0,0.0,table,18651.61,0.0,18651.61,0.0,0.0,0.0,pre_limit_minus_hybrid_sub
